K,Dataset Size,Value
5,100,2.190974364
5,200,2.928869034
5,300,3.288784762
5,400,3.351438388
5,500,3.434218372
5,600,2.820274463
5,700,3.305974256
5,800,3.502654376
5,900,3.638197656
5,1000,3.385573504
10,100,2.693206633
10,200,2.790907807
10,300,3.139696563
10,400,3.107332747
10,500,3.35815544
10,600,3.398087016
10,700,3.333841919
10,800,3.432773279
10,900,3.089606675
10,1000,3.162808539
20,100,2.28709395
20,200,2.599577899
20,300,3.125464036
20,400,2.886153497
20,500,3.134904798
20,600,2.983972663
20,700,2.739645155
20,800,3.203639938
20,900,3.12541585
20,1000,3.060567688
30,100,2.005692199
30,200,2.818980961
30,300,2.879363281
30,400,2.993965513
30,500,2.856725719
30,600,3.142758154
30,700,3.064670823
30,800,2.951252028
30,900,3.068331211
30,1000,2.853028372
40,100,1.691533965
40,200,2.16506241
40,300,2.633071918
40,400,2.597611582
40,500,2.902305503
40,600,2.942253245
40,700,3.123058329
40,800,3.06574855
40,900,3.064679444
40,1000,2.982340068
50,100,1.575512297
50,200,2.182428658
50,300,2.343087436
50,400,2.563648444
50,500,2.763947801
50,600,2.726475892
50,700,2.89081052
50,800,2.680696148
50,900,3.040882386
50,1000,3.001152774
60,100,1.303454335
60,200,1.975783748
60,300,2.429855066
60,400,2.776471055
60,500,2.711547405
60,600,2.698177533
60,700,2.782075832
60,800,2.825488769
60,900,2.959954632
60,1000,3.026885133
70,100,1.324691747
70,200,1.895795029
70,300,2.338226714
70,400,2.549807122
70,500,2.503729914
70,600,2.486951285
70,700,2.635497523
70,800,2.808368412
70,900,2.716918382
70,1000,2.868462156
80,100,1.155593761
80,200,1.917550374
80,300,2.183342147
80,400,2.457173079
80,500,2.48404958
80,600,2.660005657
80,700,2.6296901
80,800,2.570894559
80,900,2.611076619
80,1000,2.793612559
90,100,1.133992267
90,200,1.67195882
90,300,2.047419788
90,400,2.336312476
90,500,2.429521797
90,600,2.531394914
90,700,2.602276894
90,800,2.601062042
90,900,2.583968736
90,1000,2.824125401
100,100,1.062078055
100,200,1.708867271
100,300,2.114606853
100,400,2.306620632
100,500,2.379787069
100,600,2.441603277
100,700,2.647246302
100,800,2.687587031
100,900,2.651339105
100,1000,2.812890771
110,100,1.065133374
110,200,1.662843196
110,300,1.912579947
110,400,2.129176589
110,500,2.181351783
110,600,2.375321078
110,700,2.53466486
110,800,2.6586333
110,900,2.659289315
110,1000,2.903465629
120,100,0.8608937666
120,200,1.437810941
120,300,1.945741607
120,400,1.950764161
120,500,2.23066602
120,600,2.339540115
120,700,2.598387757
120,800,2.61046244
120,900,2.663155535
120,1000,2.645299592
130,100,0.8736865453
130,200,1.481918994
130,300,1.761112353
130,400,2.035793301
130,500,2.238851873
130,600,2.237542667
130,700,2.509234528
130,800,2.486333965
130,900,2.546834568
130,1000,2.706800594
140,100,0.7407387423
140,200,1.356357533
140,300,1.817775459
140,400,2.025654728
140,500,2.108495866
140,600,2.187645473
140,700,2.408738439
140,800,2.521421692
140,900,2.461360436
140,1000,2.502963075
150,100,0.7869283194
150,200,1.306869565
150,300,1.73379174
150,400,1.913475761
150,500,2.138006778
150,600,2.300456851
150,700,2.461514568
150,800,2.389510928
150,900,2.4511484
150,1000,2.701439459
160,100,0.7441552602
160,200,1.238219593
160,300,1.766451859
160,400,1.819827936
160,500,1.984023605
160,600,2.225973438
160,700,2.320726614
160,800,2.397331781
160,900,2.424393943
160,1000,2.550585467
170,100,0.6405610508
170,200,1.242714865
170,300,1.690567411
170,400,1.89012168
170,500,2.275247719
170,600,2.147534432
170,700,2.324837404
170,800,2.31287128
170,900,2.431876105
170,1000,2.395838548
180,100,0.6359235169
180,200,1.262806208
180,300,1.667178467
180,400,2.001638433
180,500,2.003912441
180,600,2.156618549
180,700,2.139512539
180,800,2.402804982
180,900,2.317256664
180,1000,2.653445903
190,100,0.6126156077
190,200,1.221115535
190,300,1.489155788
190,400,1.738216057
190,500,1.940872969
190,600,2.122530558
190,700,2.211964551
190,800,2.315343946
190,900,2.534118518
190,1000,2.546251428
200,100,0.5741112747
200,200,1.164277115
200,300,1.453928091
200,400,1.918016853
200,500,1.913019218
200,600,2.06697866
200,700,2.118097359
200,800,2.323448995
200,900,2.441128713
200,1000,2.28485991
